ID,Name
3000,Fortoise
3001,Slime
3002,Dark Slime
3003,Little Golem
3004,Crystal Mammoth
3005,G Golem
3006,Emerald
3007,Green
3008,Red
3009,Rouge
3010,Olive
3011,Yellow
3012,Blue
3013,Marin
3014,Sarcophagus
3015,Airror
3016,Flare Mage
3017,Gaias
3018,Ignis
3019,Little Emperor
3020,Little Mage
3021,Ice Wizard
3022,Little Wizard
3023,Spirit
3024,Tundra
3025,Dead Tree
3026,Ragnarok
3027,Bane Dragon
3028,Chipsqueek
3029,Orc
3030,Orc Archer
3031,High Orc
3032,Orc Hunter
3033,Weagle
3034,Ghost
3035,Ghost Ray
3036,Blackbird
3037,Beetle
3038,Flower Blossom
3039,Flower Crystal
3040,Flower Lily
3041,Flower Lion
3042,Leaf Ball
3043,Planchoa
3044,Buffaloo
3045,Heracles
3046,Gigantes
3047,Arch-Demon
3048,Minotaur
3049,Typhoon
3050,Goblin
3051,Rider Orc
3052,Hobgoblin
3053,Ogre Viking
3054,Orc Viking
3055,High Ogre Viking
3056,Baal
3057,Blood Panther
3058,Chimera
3059,Daemon
3060,Hornet Queen
3061,King Bee
3062,Cluckadoodle
3063,Duck
3064,Mamadoodle
3065,Big Duck
3066,Thunderbird
3067,Aquaticus
3068,Tortas
3069,Ancient Bone
3070,Octopirate
3071,Sealy
3072,Sky Fish
3073,Captain Goblin
3074,Goblin Don
3075,Necro
3076,Golem
3077,Sechs Golem
3078,Guardian
3079,Gangster Goblin
3080,Goblin Archer
3081,Goblin Pirate
3082,Ambrosia
3083,Hell Spider
3084,Spider
3085,Marionetta
3086,Death Stalker
3087,Heaven's Scissors
3088,Scorpion
3089,Chimera 2
3090,Gobble Box
3091,Monster Box
3092,Hammer Troll
3093,Minotaur King
3094,Sechs Tank
3095,Faust
3096,Sano
3097,Uno
3098,Armoured Tank+
3099,Death Wall
3100,King Wooly
3101,Shmooly
3102,Wooly
3103,Hinoe
3104,Kinoto
3105,Leoplicant
3106,Malm Tiger
3107,Palm Cat
3108,Thunderbolt
3109,Hunter Wolf
3110,Shadow Panther
3111,Silver Wolf
3112,Furpy
3113,Emperor Penguin
3114,Greater Demon
3115,Big Muck
3116,Tricky Muck
3117,Death Fungus
3118,Dark Fairy
3119,Fairy
3120,Goblin Sniper
3121,Rafflesia
3122,???
3123,Terraclone
3124,Elemental Emperor
3125,Fiergaenger
3126,Aquameleon
3127,Turnip Ghost
3128,Siren
3129,Ant
3130,Killer Ant
3131,Hornet
3132,Ant Queen
3133,Onion Ghost
3134,Tomato Ghost
3135,Onionger
3136,Master Giant
3137,Master Troll
3138,Titan
3139,Death Orc
3140,Troll
3141,Elefun
3142,Mammoo
3143,Hover Soldier
3144,Hover Warrior
3145,Black Dragon
3146,Blue Dragon
3147,Fiersome
3148,Green Dragon
3149,Grimoire
3150,Little Dragon
3151,Pink Dragon
3152,Red Dragon
3153,Terrable
3154,Ventuswill
3155,Yellow Dragon
3156,Mineral Squeek
3157,Ethelwill
3158,Magnuto
