ID,Material_ID,Location_ID,Monster_ID
5000,1006,2000,
5001,1006,2001,
5002,1006,2002,3000
5003,1008,2003,
5004,1009,2004,
5005,1010,2005,
5006,1010,2006,3001
5007,1011,2007,
5008,1011,2001,
5009,1011,2006,3001
5010,1012,2008,
5011,1012,2001,
5012,1012,2002,3002
5013,1013,2009,
5014,1013,2001,
5015,1013,2000,3003
5016,1014,2010,
5017,1014,2002,3002
5018,1015,2011,
5019,1015,2012,
5020,1015,2013,3004
5021,1015,2004,3005
5022,1016,2004,3006
5023,1016,2014,3007
5024,1017,2015,3008
5025,1017,2004,3009
5026,1018,2004,3010
5027,1018,2010,3011
5028,1019,2011,3012
5029,1019,2004,3013
5030,1020,2016,3014
5031,1020,2003,3014
5032,1021,2001,3015
5033,1021,2012,3016
5034,1021,2000,3017
5035,1021,2009,3018
5036,1021,2003,3019
5037,1021,2016,3020
5038,1021,2000,3020
5039,1021,2012,3021
5040,1021,2011,3022
5041,1021,2003,3014
5042,1021,2006,3023
5043,1021,2011,3024
5044,1022,2002,3002
5045,1022,2006,3023
5046,1023,2009,3018
5047,1023,2015,3008
5048,1023,2004,3009
5049,1024,2000,3017
5050,1024,2012,3010
5051,1024,2010,3011
5052,1026,2001,3015
5053,1026,2004,3006
5054,1026,2001,3007
5055,1026,2014,3007
5056,1027,2011,3012
5057,1027,2004,3013
5058,1027,2011,3024
5059,1029,2005,3025
5060,1029,2004,3025
5061,1029,2012,3016
5062,1029,2017,3021
5063,1029,2011,3022
5064,1029,2012,3010
5065,1029,2004,3026
5066,1031,2012,3010
5067,1031,2012,3009
5068,1031,2004,3026
5069,1032,2018,3027
5070,1033,2019,3028
5071,1033,2020,3029
5072,1033,2005,3029
5073,1033,2020,3030
5074,1033,2005,3030
5075,1033,2008,3031
5076,1033,2008,3032
5077,1033,2007,3033
5078,1033,2006,3034
5079,1033,2006,3035
5080,1033,2001,3036
5081,1033,2012,3036
5082,1034,2019,3037
5083,1034,2005,3037
5084,1035,2010,3038
5085,1035,2011,3039
5086,1035,2015,3040
5087,1035,2009,3041
5088,1035,2008,3042
5089,1035,2001,3043
5090,1036,2009,3044
5091,1037,2005,3025
5092,1037,2004,3025
5093,1038,2001,3045
5094,1039,2006,3035
5095,1039,2002,3046
5096,1040,2003,3047
5097,1040,2016,3020
5098,1040,2000,3020
5099,1040,2000,3048
5100,1040,2010,3049
5101,1041,2007,3050
5102,1041,2008,3031
5103,1041,2008,3051
5104,1041,2000,3052
5105,1041,2011,3053
5106,1041,2011,3054
5107,1041,2013,3055
5108,1042,2003,3047
5109,1042,2017,3056
5110,1042,2002,3057
5111,1042,2007,3058
5112,1042,2000,3059
5113,1042,2010,3049
5114,1043,2001,3060
5115,1044,2021,3061
5116,1045,2019,3062
5117,1045,2022,3062
5118,1045,2019,3063
5119,1045,2022,3064
5120,1045,2019,3033
5121,1045,2007,3033
5122,1046,2021,3065
5123,1047,2001,3036
5124,1048,2002,3066
5125,1049,2023,3067
5126,1050,2007,3068
5127,1051,2024,3069
5128,1051,2021,3070
5129,1051,2011,3071
5130,1051,2007,3072
5131,1052,2024,3069
5132,1053,2006,3034
5133,1053,2024,3069
5134,1053,2003,3073
5135,1053,2003,3074
5136,1053,2000,3075
5137,1054,2002,3000
5138,1055,2021,3070
5139,1057,2000,3003
5140,1058,2002,3076
5141,1058,2002,3077
5142,1059,2002,3077
5143,1060,2025,3078
5144,1061,2004,3005
5145,1063,2009,3079
5146,1063,2007,3050
5147,1063,2007,3080
5148,1063,2009,3081
5149,1064,2005,3082
5150,1064,2023,3082
5151,1065,2002,3083
5152,1065,2006,3084
5153,1066,2006,3085
5154,1067,2009,3041
5155,1068,2011,3086
5156,1068,2017,3087
5157,1068,2009,3088
5158,1069,2010,3038
5159,1069,2011,3039
5160,1069,2015,3040
5161,1069,2001,3043
5162,1070,2002,3083
5163,1071,2004,3089
5164,1072,2007,3080
5165,1072,2020,3030
5166,1072,2005,3030
5167,1072,2008,3032
5168,1073,2007,3050
5169,1073,2008,3051
5170,1073,2000,3052
5171,1074,2026,3090
5172,1074,2026,3091
5173,1075,2026,3090
5174,1076,2002,3046
5175,1076,2001,3092
5176,1076,2000,3048
5177,1076,2003,3093
5178,1077,2011,3053
5179,1077,2011,3054
5180,1078,2002,3094
5181,1079,2002,3094
5182,1080,2002,3095
5183,1081,2017,3056
5184,1082,2016,3096
5185,1082,2003,3096
5186,1083,2016,3097
5187,1083,2003,3097
5188,1084,2002,3098
5189,1085,2013,3055
5190,1086,2025,3099
5191,1087,2008,3100
5192,1087,2015,3100
5193,1087,2006,3085
5194,1087,2027,3101
5195,1087,2019,3102
5196,1087,2020,3102
5197,1088,2002,3057
5198,1088,2019,3028
5199,1088,2028,3103
5200,1088,2028,3104
5201,1088,2028,3105
5202,1088,2003,3106
5203,1088,2015,3107
5204,1088,2009,3107
5205,1088,2007,3108
5206,1089,2021,3065
5207,1089,2019,3063
5208,1090,2019,3028
5209,1090,2028,3103
5210,1090,2011,3109
5211,1090,2028,3104
5212,1090,2028,3105
5213,1090,2003,3106
5214,1090,2006,3110
5215,1090,2008,3111
5216,1090,2011,3111
5217,1091,2007,3108
5218,1092,2015,3112
5219,1093,2006,3085
5220,1093,2027,3101
5221,1094,2008,3100
5222,1094,2015,3100
5223,1094,2027,3101
5224,1095,2027,3101
5225,1096,2011,3113
5226,1096,2029,3113
5227,1097,2028,3103
5228,1098,2028,3104
5229,1099,2004,3114
5230,1100,2019,3115
