ID,Monster_ID,Location_ID
4000,3000,2002
4001,3001,2006
4002,3002,2002
4003,3003,2000
4004,3004,2013
4005,3005,2004
4006,3006,2004
4007,3007,2014
4008,3008,2015
4009,3009,2004
4010,3010,2004
4011,3011,2010
4012,3012,2011
4013,3013,2004
4014,3014,2016
4015,3014,2003
4016,3015,2001
4017,3016,2012
4018,3017,2000
4019,3018,2009
4020,3019,2003
4021,3020,2016
4022,3020,2000
4023,3021,2012
4024,3022,2011
4025,3023,2006
4026,3024,2011
4027,3010,2012
4028,3007,2001
4029,3025,2005
4030,3025,2004
4031,3021,2017
4032,3026,2004
4033,3009,2012
4034,3027,2018
4035,3028,2019
4036,3029,2020
4037,3029,2005
4038,3030,2020
4039,3030,2005
4040,3031,2008
4041,3032,2008
4042,3033,2007
4043,3034,2006
4044,3035,2006
4045,3036,2001
4046,3036,2012
4047,3037,2019
4048,3037,2005
4049,3038,2010
4050,3039,2011
4051,3040,2015
4052,3041,2009
4053,3042,2008
4054,3043,2001
4055,3044,2009
4056,3045,2001
4057,3046,2002
4058,3047,2003
4059,3048,2000
4060,3049,2010
4061,3050,2007
4062,3051,2008
4063,3052,2000
4064,3053,2011
4065,3054,2011
4066,3055,2013
4067,3056,2017
4068,3057,2002
4069,3058,2007
4070,3059,2000
4071,3060,2001
4072,3061,2021
4073,3062,2019
4074,3062,2022
4075,3063,2019
4076,3064,2022
4077,3033,2019
4078,3065,2021
4079,3066,2002
4080,3067,2023
4081,3068,2007
4082,3069,2024
4083,3070,2021
4084,3071,2011
4085,3072,2007
4086,3073,2003
4087,3074,2003
4088,3075,2000
4089,3076,2002
4090,3077,2002
4091,3078,2025
4092,3079,2009
4093,3080,2007
4094,3081,2009
4095,3082,2005
4096,3082,2023
4097,3083,2002
4098,3084,2006
4099,3085,2006
4100,3086,2011
4101,3087,2017
4102,3088,2009
4103,3089,2004
4104,3090,2026
4105,3091,2026
4106,3092,2001
4107,3093,2003
4108,3094,2002
4109,3095,2002
4110,3096,2016
4111,3096,2003
4112,3097,2016
4113,3097,2003
4114,3098,2002
4115,3099,2025
4116,3100,2008
4117,3100,2015
4118,3101,2027
4119,3102,2019
4120,3102,2020
4121,3103,2028
4122,3104,2028
4123,3105,2028
4124,3106,2003
4125,3107,2015
4126,3107,2009
4127,3108,2007
4128,3109,2011
4129,3110,2006
4130,3111,2008
4131,3111,2011
4132,3112,2015
4133,3113,2011
4134,3113,2029
4135,3114,2004
4136,3115,2019
4137,3116,2015
4138,3116,2009
4139,3117,2019
4140,3118,2002
4141,3119,2019
4142,3120,2000
4143,3121,2009
4144,3122,2001
4145,3123,2000
4146,3124,2025
4147,3125,2001
4148,3126,2011
4149,3127,2013
4150,3128,2017
4151,3129,2020
4152,3129,2029
4153,3129,2005
4154,3129,2008
4155,3129,2024
4156,3130,2008
4157,3131,2008
4158,3132,2028
4159,3133,2010
4160,3134,2009
4161,3135,2018
4162,3136,2002
4163,3137,2028
4164,3138,2011
4165,3139,2004
4166,3140,2009
4167,3141,2027
4168,3141,2000
4169,3142,2011
4170,3143,2002
4171,3144,2002
4172,3145,2004
4173,3146,2025
4174,3147,2023
4175,3148,2018
4176,3149,2003
4177,3150,2002
4178,3151,2025
4179,3152,2028
4180,3153,2023
4181,3154,2023
4182,3155,2025
4183,3148,2004
4184,3152,2004
4185,3146,2004
4186,3155,2004
4187,3151,2004
4188,3156,2003
4189,3157,2002
4190,3158,2031
