ID,Material_ID,matk,def,mdef,str,vit,atk,drainAtk,int,parAtk,crit,drainRes,psnAtk,sickAtk,slpAtk,sealAtk,psnRes,sealRes,parRes,slpRes,ftgRes,sickRes,diz,knockAtk,faintRes,dizRes,critRes,knockRes,knock,stun,ftgAtk,faintAtk,upgradeEffct,effect,fireRes,waterRes,windRes,earthRes
6000,1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,1001,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,1002,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,1003,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,1004,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,1005,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,1006,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,1007,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,1008,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,1009,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6010,1010,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6011,1011,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6012,1012,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6013,1013,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6014,1014,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6015,1015,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,1016,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017,1017,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6018,1018,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6019,1019,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6020,1020,60,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6021,1021,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6022,1022,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6023,1023,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,1024,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025,1025,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6026,1026,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6027,1027,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6028,1028,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6029,1029,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6030,1030,40,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6031,1031,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6032,1032,150,,-5,,,60,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6033,1033,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6034,1034,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035,1035,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6036,1036,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6037,1037,200,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6038,1038,,,,,,15,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6039,1039,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6040,1040,50,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6041,1041,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6042,1042,9,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
6043,1043,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6044,1044,88,,,,,5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6045,1045,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6046,1046,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6047,1047,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6048,1048,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6049,1049,,,,,-10,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6050,1050,,4,1,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6051,1051,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6052,1052,,10,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6053,1053,8,4,5,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
6054,1054,,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6055,1055,,135,82,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,1056,,,,,,5,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6057,1057,,8,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6058,1058,,15,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6059,1059,,30,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6060,1060,,105,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6061,1061,20,160,-15,,,50,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6062,1062,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6063,1063,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6064,1064,7,,,,,7,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
6065,1065,2,,,,,2,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6066,1066,8,,,,,5,,,0.05,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,
6067,1067,7,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
6068,1068,,,,,,5,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
6069,1069,12,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
6070,1070,16,,,,,2,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,1071,-10,,,,,200,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6072,1072,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6073,1073,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6074,1074,,2,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,
6075,1075,,4,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.05,,,,,,,,,,,,,,,,,
6076,1076,,4,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
6077,1077,,11,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
6078,1078,25,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6079,1079,40,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6080,1080,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6081,1081,,,,30,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
6082,1082,,120,35,,,,,,,,0.01,,,,,0.06,0.06,0.06,0.06,0.06,0.06,,,0.01,,,,,,,,,,,,,,
6083,1083,,35,120,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.15,,,,,,,,,,,
6084,1084,,8,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,,,,,,,,,,,,
6085,1085,,83,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,
6086,1086,95,4,,,,105,,,,,,,,,,,,,0.1,,,,,,,,,,0.25,,,,,,,,,
6087,1087,,,,,1,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
6088,1088,,2,1,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
6089,1089,,2,2,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
6090,1090,,3,2,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
6091,1091,,7,6,,4,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
6092,1092,,5,3,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
6093,1093,,5,3,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
